URL,Version,Status,OIDs,Name,Title,Description,Used
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCBHPMTUSS,1.0.0-release,active,,BRCBHPMTUSS,Classificação Brasileira Hierarquizada de Procedimentos Médicos (CBHPM) e da Terminologia Unificada da Saúde Suplementar (TUSS),"Classificações de procedimentos utilizadas no Brasil, no contexto da assistência à saúde privada, não complementar ao SUS, e eventualmente no SUS para classificar procedimento inexistente na Tabela SUS.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCBO,1.0.0-release,active,,BRCBO,Classificação Brasileira de Ocupações (CBO),"Classifica as profissões do mercado de trabalho brasileiro.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCID10,1.0.0-release,active,,BRCID10,Classificação Internacional de Doenças - Décima Revisão (CID-10),"Classifica as doenças e outros problemas em saúde registrados em diversos tipos de documentos clínicos.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRCategoriaDiagnostico,1.0.0-release,active,,BRCategoriaDiagnostico,Categoria do Diagnóstico (CodeSystem),"Códigos para representação do tipo de categoria do diagnóstico realizado.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRJustificativaIndividuoNaoIdentificado,1.0.0-release,active,,BRJustificativaIndividuoNaoIdentificado,Justificativa da Impossibilidade de Identificação do Indivíduo (CodeSystem),"Classifica as razões pelo qual não foi possível obter os dados de identificação do indivíduo em um contato assistencial. (Port. nº 84/SAS/MS/1997 e Port. nº02/SAS/SGEP/MS/2012)",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRModalidadeAssistencial,1.0.0-release,active,,BRModalidadeAssistencial,Modalidade Assistencial,"Classifica os contatos assistenciais de acordo com as especificidades do modo, local e duração do atendimento",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRStatusAgendamentoRegulacaoAssistencial,1.0.0-release,active,,BRStatusAgendamentoRegulacaoAssistencial,Status de agendamento de regulação assistencial (CodeSystem),"Status de agendamento de regulação assistencial.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRStatusRegulacaoAssistencial,1.0.0-release,active,,BRStatusRegulacaoAssistencial,Status da regulação assistencial,"Status da regulação assistencial.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRTabelaSUS,1.0.0-release,active,,BRTabelaSUS,Tabela de procedimentos, medicamentos e OPM do SUS,"Padroniza os códigos e as nomenclaturas dos procedimentos, medicamentos e OPM para as informações trafegadas no SUS",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRTipoDocumento,1.0.0-release,active,,BRTipoDocumento,Tipo de Documento (CodeSystem),"Classificação dos tipos de documentos compartilhados no Brasil.",
http://www.saude.gov.br/fhir/r4/CodeSystem/BRTipoParticipante,1.0.0-release,active,,BRTipoParticipante,Tipo do Participante,"Identificação do tipo do participante envolvido na solicitação.",
